"Page / Catégorie","Page / Fonctionnalité",Expositions,Visites,"Expositions des possesseurs du produit","Visites des possesseurs du produit"
"Résultats de recherches directes","Résultats de la recherche",25,5,1,2
"Prochainement - Liste complète","Parcourir les résultats de recherche",15,3,0,0
"Suggestions de recherche","Autocomplétion de la recherche",5,11,0,3
"Page des tags","Liste des prochaines sorties",4,0,0,0
"Parcourir les résultats par tag","Parcourir les résultats de recherche",4,0,0,0
"(autres pages)",(Autre),0,156,0,8
"Trafic généré par des robots",(Autre),0,99,0,0
"Trafic généré par des robots","Liste des prochaines sorties",0,6,0,0
"Trafic généré par des robots","Parcourir les résultats de recherche",0,1,0,0
"Trafic généré par des robots","Plus de ce genre - Capsule principale",0,29,0,0
"Navigation directe",(Autre),0,51,0,17
"Liste de toutes les sorties prochaines","Liste de toutes les sorties prochaines",0,20,0,0
"Site web externe",other,0,2,0,1
"Site web externe",Google,0,2,0,2
"Site web externe",twitter.com,0,2,0,0
"Site web externe",steamdb,0,4,0,0
"Site web externe",,0,0,0,0
"Site web de Valve",(Autre),0,4,0,1
"Client Steam : bibliothèque",(Autre),0,1,0,1
"Autres pages de produits",#StoreMetrics_FeatureType_game-add-to-wishlist,0,0,0,0
